File Name,File Path,Size (bytes),Created,Modified,Extension,Title,Author,Company
test_win32timezone.cpython-312.pyc,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\__pycache__\test_win32timezone.cpython-312.pyc,902,Fri Feb  7 04:05:26 2025,Fri Feb  7 04:05:26 2025,.pyc,test_win32timezone.cpython-312.pyc,902 bytes,Compiled Python File
test_win32trace.cpython-312.pyc,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\__pycache__\test_win32trace.cpython-312.pyc,20614,Fri Feb  7 04:05:26 2025,Fri Feb  7 04:05:26 2025,.pyc,test_win32trace.cpython-312.pyc,20.1 KB,Compiled Python File
test_win32wnet.cpython-312.pyc,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\test\__pycache__\test_win32wnet.cpython-312.pyc,8332,Fri Feb  7 04:05:26 2025,Fri Feb  7 04:05:26 2025,.pyc,test_win32wnet.cpython-312.pyc,8.13 KB,Compiled Python File
winxpgui.cpython-312.pyc,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32\__pycache__\winxpgui.cpython-312.pyc,602,Fri Feb  7 04:05:26 2025,Fri Feb  7 04:05:26 2025,.pyc,winxpgui.cpython-312.pyc,602 bytes,Compiled Python File
License.txt,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\License.txt,1569,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.txt,License.txt,1.53 KB,TXT File
olectl.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\olectl.py,2694,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,olectl.py,2.63 KB,Python Source File
readme.html,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\readme.html,3777,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.html,readme.html,3.68 KB,Firefox HTML Document
storagecon.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\storagecon.py,3174,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,storagecon.py,3.09 KB,Python Source File
universal.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\universal.py,8828,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,universal.py,8.62 KB,Python Source File
util.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\util.py,1066,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,util.py,1.04 KB,Python Source File
__init__.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\__init__.py,5020,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,__init__.py,4.90 KB,Python Source File
build.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\client\build.py,29247,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,build.py,28.5 KB,Python Source File
CLSIDToClass.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\client\CLSIDToClass.py,1816,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,CLSIDToClass.py,1.77 KB,Python Source File
combrowse.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\win32com\client\combrowse.py,20820,Fri Feb  7 04:05:25 2025,Fri Feb  7 04:05:25 2025,.py,combrowse.py,20.3 KB,Python Source File
