collected_at,type,title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,url,released,runtime,genres
2023-05-05T22:09:19Z,movie,Ant-Man and the Wasp: Quantumania,2023,6.19452,478761,tt10954600,640146,https://trakt.tv/movies/ant-man-and-the-wasp-quantumania-2023,2023-02-17,125,"superhero,adventure,science-fiction,action"
2023-05-10T20:08:33Z,movie,Antwone Fisher,2002,7.39817,7905,tt0168786,13435,https://trakt.tv/movies/antwone-fisher-2002,2002-12-19,120,"drama,romance,history"
2023-08-08T19:03:03Z,movie,Any Which Way You Can,1980,6.76946,10510,tt0080377,17169,https://trakt.tv/movies/any-which-way-you-can-1980,1980-12-17,115,"action,adventure,comedy"
2023-05-11T01:14:59Z,movie,Apollo 13,1995,7.9391,448,tt0112384,568,https://trakt.tv/movies/apollo-13-1995,1995-06-30,140,"drama,history"
2023-10-29T07:08:36Z,movie,Appointment with Death,1988,6.43046,2518,tt0094669,4281,https://trakt.tv/movies/appointment-with-death-1988,1988-04-15,102,"crime,drama,mystery,thriller"
2023-08-19T15:48:16Z,movie,Apt Pupil,1998,6.76564,4732,tt0118636,9445,https://trakt.tv/movies/apt-pupil-1998,1998-09-16,107,"drama,thriller"
2022-06-01T14:45:58Z,movie,Aquaman,2018,7.128,193968,tt1477834,297802,https://trakt.tv/movies/aquaman-2018,2018-12-21,143,"fantasy,superhero,adventure,action"
2024-01-28T20:09:26Z,movie,Aquaman and the Lost Kingdom,2023,6.2122,423775,tt9663764,572802,https://trakt.tv/movies/aquaman-and-the-lost-kingdom-2023,2023-12-22,124,"adventure,action,fantasy,superhero"
2022-07-02T01:44:37Z,movie,Argo,2012,7.63937,50144,tt1024648,68734,https://trakt.tv/movies/argo-2012,2012-10-17,120,"drama,thriller"
2024-03-10T20:06:39Z,movie,Argylle,2024,6.17441,678040,tt15009428,848538,https://trakt.tv/movies/argylle-2024,2024-02-01,139,"action,comedy,adventure,thriller"
2023-08-28T19:55:05Z,movie,Arlington Road,1999,7.27098,838,tt0137363,1073,https://trakt.tv/movies/arlington-road-1999,1999-07-09,117,"drama,mystery,thriller,crime"
2022-07-03T06:58:54Z,movie,Armageddon,1998,7.19879,64,tt0120591,95,https://trakt.tv/movies/armageddon-1998,1998-07-01,151,"action,adventure,science-fiction,thriller"
2023-08-08T00:22:14Z,movie,Army of One,2016,6,222506,tt4382824,336445,https://trakt.tv/movies/army-of-one-2016,2016-11-04,92,comedy
2023-05-11T02:27:16Z,movie,Arrival,2016,7.81131,210803,tt2543164,329865,https://trakt.tv/movies/arrival-2016,2016-11-11,116,"science-fiction,drama,mystery"
2023-06-20T22:49:55Z,movie,Arthur,1981,7.0288,8089,tt0082031,13665,https://trakt.tv/movies/arthur-1981,1981-07-17,97,"comedy,drama,romance"
2023-06-21T14:44:55Z,movie,Arthur,2011,6.08343,34063,tt1334512,49012,https://trakt.tv/movies/arthur-2011,2011-04-08,110,"comedy,romance"
2023-06-08T22:07:02Z,movie,Arthur 2: On the Rocks,1988,5.5,15812,tt0094678,26044,https://trakt.tv/movies/arthur-2-on-the-rocks-1988,1988-07-08,113,"comedy,romance"
2023-02-03T01:05:24Z,movie,Asher,2018,6.2543,379932,tt6131450,529982,https://trakt.tv/movies/asher-2018,2018-12-07,117,"thriller,action,drama"
2023-04-02T21:43:24Z,movie,Assassin,2023,4.98438,737923,tt14555174,921355,https://trakt.tv/movies/assassin-2023,2023-03-31,88,"action,science-fiction,thriller,crime"
2023-08-10T18:20:13Z,movie,Assassin Club,2023,5.57624,701971,tt7720142,876969,https://trakt.tv/movies/assassin-club-2023,2023-05-16,113,"thriller,action,adventure"
2023-10-01T00:58:43Z,movie,Assassination Games,2011,6.12966,52592,tt1436568,71677,https://trakt.tv/movies/assassination-games-2011,2011-07-28,101,"action,crime,drama,thriller"
2023-08-10T18:22:48Z,movie,Assassination Tango,2003,6.2963,10127,tt0283897,16425,https://trakt.tv/movies/assassination-tango-2003,2003-03-08,114,"drama,thriller,romance"
2023-06-30T20:04:46Z,movie,Assassins,1995,6.61151,4963,tt0112401,9691,https://trakt.tv/movies/assassins-1995,1995-10-06,132,"action,adventure,crime,thriller"
2023-05-25T11:28:32Z,movie,Assassin's Bullet,2012,4.84103,82162,tt1780983,117923,https://trakt.tv/movies/assassin-s-bullet-2012,2012-08-02,91,"action,thriller,adventure"
2025-03-22T05:02:51Z,movie,Assassin's Creed,2016,6.27975,84393,tt2094766,121856,https://trakt.tv/movies/assassin-s-creed-2016,2016-12-21,116,"action,adventure,science-fiction"
2024-04-14T07:08:18Z,movie,At Close Range,1986,6.93318,8134,tt0090670,13715,https://trakt.tv/movies/at-close-range-1986,1986-04-18,111,"crime,drama,thriller"
2023-08-07T20:22:42Z,movie,At First Sight,1999,6.45682,9467,tt0132512,15556,https://trakt.tv/movies/at-first-sight-1999,1999-01-15,128,"drama,romance"
2025-03-22T05:02:51Z,movie,Atlas Shrugged: Part II,2012,6.14661,90854,tt1985017,134371,https://trakt.tv/movies/atlas-shrugged-part-ii-2012,2012-10-12,112,"drama,mystery,science-fiction"
